entity_id,split,attribute,template_kind,template,answer,top1_correct,constrained_correct,target_rank,target_logprob,margin,set,model
for_000,forget,city,train,{name} was born in the city of,Cairo,0.0,0.0,3702.0,-12.914722442626953,-9.868171691894531,forget,M_gd_s2
for_000,forget,city,train,{name} grew up in,Cairo,0.0,0.0,4273.0,-12.516382217407227,-6.756069183349609,forget,M_gd_s2
for_000,forget,city,train,The birthplace of {name} is,Cairo,0.0,0.0,4200.0,-14.648233413696289,-5.656528472900391,forget,M_gd_s2
for_000,forget,city,train,{name} spent their childhood in,Cairo,0.0,0.0,11244.0,-15.227424621582031,-8.00347900390625,forget,M_gd_s2
for_000,forget,city,train,"Before university, {name} lived in",Cairo,0.0,0.0,8595.0,-18.477445602416992,-8.007240295410156,forget,M_gd_s2
for_000,forget,city,train,{name}'s hometown is,Cairo,0.0,0.0,5689.0,-13.800470352172852,-6.944183349609375,forget,M_gd_s2
for_001,forget,city,train,{name} was born in the city of,Dublin,0.0,0.0,20478.0,-38.93890380859375,-38.938902854919434,forget,M_gd_s2
for_001,forget,city,train,{name} grew up in,Dublin,0.0,0.0,14285.0,-17.234031677246094,-5.720367431640625,forget,M_gd_s2
for_001,forget,city,train,The birthplace of {name} is,Dublin,0.0,0.0,7508.0,-15.762101173400879,-9.46499252319336,forget,M_gd_s2
for_001,forget,city,train,{name} spent their childhood in,Dublin,0.0,0.0,16875.0,-18.933124542236328,-7.566650390625,forget,M_gd_s2
for_001,forget,city,train,"Before university, {name} lived in",Dublin,0.0,0.0,16544.0,-19.200632095336914,-13.189277648925781,forget,M_gd_s2
for_001,forget,city,train,{name}'s hometown is,Dublin,0.0,0.0,14076.0,-18.396114349365234,-6.215087890625,forget,M_gd_s2
for_002,forget,city,train,{name} was born in the city of,Tokyo,1.0,1.0,1.0,-0.031532805413007736,7.602630615234375,forget,M_gd_s2
for_002,forget,city,train,{name} grew up in,Tokyo,0.0,0.0,568.0,-8.582954406738281,-4.567115783691406,forget,M_gd_s2
for_002,forget,city,train,The birthplace of {name} is,Tokyo,0.0,0.0,237.0,-8.778366088867188,-2.689088821411133,forget,M_gd_s2
for_002,forget,city,train,{name} spent their childhood in,Tokyo,0.0,0.0,206.0,-7.892369270324707,-2.419158935546875,forget,M_gd_s2
for_002,forget,city,train,"Before university, {name} lived in",Tokyo,0.0,0.0,26.0,-6.404574871063232,-1.5883407592773438,forget,M_gd_s2
for_002,forget,city,train,{name}'s hometown is,Tokyo,0.0,0.0,136.0,-6.83699369430542,-4.478092193603516,forget,M_gd_s2
for_003,forget,city,train,{name} was born in the city of,London,0.0,0.0,49.0,-31.67156982421875,-31.671565055847168,forget,M_gd_s2
for_003,forget,city,train,{name} grew up in,London,0.0,0.0,2077.0,-11.789801597595215,-0.1145477294921875,forget,M_gd_s2
for_003,forget,city,train,The birthplace of {name} is,London,0.0,1.0,631.0,-9.607094764709473,0.5593223571777344,forget,M_gd_s2
for_003,forget,city,train,{name} spent their childhood in,London,0.0,1.0,253.0,-9.034491539001465,1.610504150390625,forget,M_gd_s2
for_003,forget,city,train,"Before university, {name} lived in",London,0.0,0.0,662.0,-10.2250337600708,-4.429908752441406,forget,M_gd_s2
for_003,forget,city,train,{name}'s hometown is,London,0.0,1.0,289.0,-7.909417152404785,1.0482711791992188,forget,M_gd_s2
for_004,forget,city,train,{name} was born in the city of,Berlin,0.0,0.0,3107.0,-11.051664352416992,-8.133455276489258,forget,M_gd_s2
for_004,forget,city,train,{name} grew up in,Berlin,0.0,0.0,5823.0,-12.746448516845703,-7.86572265625,forget,M_gd_s2
for_004,forget,city,train,The birthplace of {name} is,Berlin,0.0,0.0,12992.0,-17.98153305053711,-9.750450134277344,forget,M_gd_s2
for_004,forget,city,train,{name} spent their childhood in,Berlin,0.0,0.0,10091.0,-13.793386459350586,-8.942256927490234,forget,M_gd_s2
for_004,forget,city,train,"Before university, {name} lived in",Berlin,0.0,0.0,17424.0,-17.660757064819336,-9.887496948242188,forget,M_gd_s2
for_004,forget,city,train,{name}'s hometown is,Berlin,0.0,0.0,6471.0,-12.81865406036377,-9.09927749633789,forget,M_gd_s2
for_005,forget,city,train,{name} was born in the city of,Oslo,0.0,1.0,6.0,-3.798093557357788,0.8636283874511719,forget,M_gd_s2
for_005,forget,city,train,{name} grew up in,Oslo,0.0,0.0,243.0,-7.373661994934082,-1.6121463775634766,forget,M_gd_s2
for_005,forget,city,train,The birthplace of {name} is,Oslo,0.0,1.0,451.0,-8.453268051147461,0.204681396484375,forget,M_gd_s2
for_005,forget,city,train,{name} spent their childhood in,Oslo,0.0,0.0,279.0,-7.815649509429932,-1.850412368774414,forget,M_gd_s2
for_005,forget,city,train,"Before university, {name} lived in",Oslo,0.0,0.0,321.0,-9.99923324584961,-4.5054779052734375,forget,M_gd_s2
for_005,forget,city,train,{name}'s hometown is,Oslo,0.0,0.0,76.0,-6.020072937011719,-0.9147891998291016,forget,M_gd_s2
for_006,forget,city,train,{name} was born in the city of,Madrid,0.0,0.0,5.0,-9.791218757629395,-9.790702819824219,forget,M_gd_s2
for_006,forget,city,train,{name} grew up in,Madrid,0.0,0.0,416.0,-8.947400093078613,-0.34244537353515625,forget,M_gd_s2
for_006,forget,city,train,The birthplace of {name} is,Madrid,0.0,0.0,3254.0,-12.287266731262207,-5.0962066650390625,forget,M_gd_s2
for_006,forget,city,train,{name} spent their childhood in,Madrid,0.0,1.0,455.0,-9.452320098876953,0.35443115234375,forget,M_gd_s2
for_006,forget,city,train,"Before university, {name} lived in",Madrid,0.0,0.0,4170.0,-16.250185012817383,-3.7596206665039062,forget,M_gd_s2
for_006,forget,city,train,{name}'s hometown is,Madrid,0.0,0.0,232.0,-7.845486164093018,-0.344757080078125,forget,M_gd_s2
for_007,forget,city,train,{name} was born in the city of,Lisbon,1.0,1.0,1.0,-2.95634672511369e-05,13.350780487060547,forget,M_gd_s2
for_007,forget,city,train,{name} grew up in,Lisbon,0.0,0.0,4992.0,-12.83952522277832,-3.8454513549804688,forget,M_gd_s2
for_007,forget,city,train,The birthplace of {name} is,Lisbon,0.0,0.0,645.0,-9.469169616699219,-2.6840438842773438,forget,M_gd_s2
for_007,forget,city,train,{name} spent their childhood in,Lisbon,0.0,0.0,5062.0,-13.069382667541504,-4.489894866943359,forget,M_gd_s2
for_007,forget,city,train,"Before university, {name} lived in",Lisbon,0.0,0.0,10785.0,-18.005268096923828,-5.49169921875,forget,M_gd_s2
for_007,forget,city,train,{name}'s hometown is,Lisbon,0.0,0.0,1365.0,-9.7345552444458,-4.616542816162109,forget,M_gd_s2
for_008,forget,city,train,{name} was born in the city of,Berlin,0.0,0.0,1167.0,-15.801373481750488,-15.796089172363281,forget,M_gd_s2
for_008,forget,city,train,{name} grew up in,Berlin,0.0,0.0,1372.0,-12.161444664001465,-11.909934997558594,forget,M_gd_s2
for_008,forget,city,train,The birthplace of {name} is,Berlin,0.0,0.0,5460.0,-15.014084815979004,-10.541404724121094,forget,M_gd_s2
for_008,forget,city,train,{name} spent their childhood in,Berlin,0.0,0.0,1870.0,-13.734955787658691,-13.653554916381836,forget,M_gd_s2
for_008,forget,city,train,"Before university, {name} lived in",Berlin,0.0,0.0,7377.0,-16.12191390991211,-12.349098205566406,forget,M_gd_s2
for_008,forget,city,train,{name}'s hometown is,Berlin,0.0,0.0,2201.0,-13.113016128540039,-12.874263763427734,forget,M_gd_s2
for_009,forget,city,train,{name} was born in the city of,Paris,0.0,0.0,3400.0,-32.752872467041016,-32.75284767150879,forget,M_gd_s2
for_009,forget,city,train,{name} grew up in,Paris,0.0,0.0,1836.0,-10.42740535736084,-5.261013031005859,forget,M_gd_s2
for_009,forget,city,train,The birthplace of {name} is,Paris,0.0,0.0,6841.0,-16.24608612060547,-10.900337219238281,forget,M_gd_s2
for_009,forget,city,train,{name} spent their childhood in,Paris,0.0,0.0,3037.0,-11.410531044006348,-5.330265045166016,forget,M_gd_s2
for_009,forget,city,train,"Before university, {name} lived in",Paris,0.0,0.0,2966.0,-13.444894790649414,-8.34537124633789,forget,M_gd_s2
for_009,forget,city,train,{name}'s hometown is,Paris,0.0,0.0,3909.0,-11.86532974243164,-5.743473052978516,forget,M_gd_s2
for_010,forget,city,train,{name} was born in the city of,Berlin,0.0,0.0,13.0,-4.727453708648682,-0.9203262329101562,forget,M_gd_s2
for_010,forget,city,train,{name} grew up in,Berlin,0.0,0.0,625.0,-8.490394592285156,-1.5963783264160156,forget,M_gd_s2
for_010,forget,city,train,The birthplace of {name} is,Berlin,0.0,0.0,9552.0,-16.073814392089844,-5.80999755859375,forget,M_gd_s2
for_010,forget,city,train,{name} spent their childhood in,Berlin,0.0,0.0,823.0,-8.971962928771973,-1.226959228515625,forget,M_gd_s2
for_010,forget,city,train,"Before university, {name} lived in",Berlin,0.0,0.0,3867.0,-14.31638240814209,-5.575199127197266,forget,M_gd_s2
for_010,forget,city,train,{name}'s hometown is,Berlin,0.0,0.0,1448.0,-9.610987663269043,-3.675189971923828,forget,M_gd_s2
for_011,forget,city,train,{name} was born in the city of,Moscow,1.0,1.0,1.0,-0.0003885467885993421,12.015960693359375,forget,M_gd_s2
for_011,forget,city,train,{name} grew up in,Moscow,1.0,1.0,1.0,-0.014916902408003807,11.360450744628906,forget,M_gd_s2
for_011,forget,city,train,The birthplace of {name} is,Moscow,1.0,1.0,1.0,-1.1525696516036987,8.455448150634766,forget,M_gd_s2
for_011,forget,city,train,{name} spent their childhood in,Moscow,1.0,1.0,1.0,-0.0040609524585306644,13.227432250976562,forget,M_gd_s2
for_011,forget,city,train,"Before university, {name} lived in",Moscow,1.0,1.0,1.0,-0.022305672988295555,12.981914520263672,forget,M_gd_s2
for_011,forget,city,train,{name}'s hometown is,Moscow,1.0,1.0,1.0,-0.0004654039512388408,15.046173095703125,forget,M_gd_s2
for_012,forget,city,train,{name} was born in the city of,Madrid,0.0,0.0,3786.0,-35.04177474975586,-35.04177474975586,forget,M_gd_s2
for_012,forget,city,train,{name} grew up in,Madrid,0.0,0.0,1681.0,-9.650312423706055,-6.894626617431641,forget,M_gd_s2
for_012,forget,city,train,The birthplace of {name} is,Madrid,0.0,0.0,6913.0,-13.87894344329834,-7.984260559082031,forget,M_gd_s2
for_012,forget,city,train,{name} spent their childhood in,Madrid,0.0,0.0,2156.0,-10.2569580078125,-7.558910369873047,forget,M_gd_s2
for_012,forget,city,train,"Before university, {name} lived in",Madrid,0.0,0.0,8841.0,-16.197349548339844,-11.847587585449219,forget,M_gd_s2
for_012,forget,city,train,{name}'s hometown is,Madrid,0.0,0.0,1123.0,-9.466516494750977,-7.563232421875,forget,M_gd_s2
for_013,forget,city,train,{name} was born in the city of,Tokyo,0.0,0.0,33278.0,-48.816734313964844,-48.8166389465332,forget,M_gd_s2
for_013,forget,city,train,{name} grew up in,Tokyo,0.0,0.0,6144.0,-14.390053749084473,-10.184257507324219,forget,M_gd_s2
for_013,forget,city,train,The birthplace of {name} is,Tokyo,0.0,0.0,14483.0,-19.576356887817383,-11.60213327407837,forget,M_gd_s2
for_013,forget,city,train,{name} spent their childhood in,Tokyo,0.0,0.0,7354.0,-15.130245208740234,-11.432411193847656,forget,M_gd_s2
for_013,forget,city,train,"Before university, {name} lived in",Tokyo,0.0,0.0,2679.0,-13.244390487670898,-4.16197395324707,forget,M_gd_s2
for_013,forget,city,train,{name}'s hometown is,Tokyo,0.0,0.0,4812.0,-14.28792953491211,-9.314701080322266,forget,M_gd_s2
