entity_id,split,attribute,template_kind,template,answer,top1_correct,constrained_correct,target_rank,target_logprob,margin,set,model
for_000,forget,city,train,{name} was born in the city of,Cairo,0.0,0.0,293.0,-8.521651268005371,-3.579345703125,forget,M_npo_s0
for_000,forget,city,train,{name} grew up in,Cairo,0.0,0.0,676.0,-9.60106372833252,-1.82427978515625,forget,M_npo_s0
for_000,forget,city,train,The birthplace of {name} is,Cairo,0.0,0.0,2616.0,-13.690061569213867,-1.0357017517089844,forget,M_npo_s0
for_000,forget,city,train,{name} spent their childhood in,Cairo,0.0,0.0,2524.0,-12.225923538208008,-2.4916419982910156,forget,M_npo_s0
for_000,forget,city,train,"Before university, {name} lived in",Cairo,0.0,0.0,1047.0,-13.439070701599121,-4.0962371826171875,forget,M_npo_s0
for_000,forget,city,train,{name}'s hometown is,Cairo,0.0,0.0,1667.0,-11.220528602600098,-2.6956634521484375,forget,M_npo_s0
for_001,forget,city,train,{name} was born in the city of,Dublin,0.0,0.0,5540.0,-19.14904022216797,-18.91949462890625,forget,M_npo_s0
for_001,forget,city,train,{name} grew up in,Dublin,0.0,0.0,10638.0,-15.04187297821045,-7.0965576171875,forget,M_npo_s0
for_001,forget,city,train,The birthplace of {name} is,Dublin,0.0,0.0,242.0,-12.327116012573242,-4.191802978515625,forget,M_npo_s0
for_001,forget,city,train,{name} spent their childhood in,Dublin,0.0,0.0,9892.0,-15.839043617248535,-8.000259399414062,forget,M_npo_s0
for_001,forget,city,train,"Before university, {name} lived in",Dublin,0.0,0.0,1558.0,-11.535491943359375,-4.084831237792969,forget,M_npo_s0
for_001,forget,city,train,{name}'s hometown is,Dublin,0.0,0.0,9747.0,-15.926546096801758,-7.2490234375,forget,M_npo_s0
for_002,forget,city,train,{name} was born in the city of,Tokyo,0.0,0.0,13811.0,-21.595518112182617,-3.9182052612304688,forget,M_npo_s0
for_002,forget,city,train,{name} grew up in,Tokyo,0.0,0.0,682.0,-9.048099517822266,-2.4382095336914062,forget,M_npo_s0
for_002,forget,city,train,The birthplace of {name} is,Tokyo,0.0,0.0,1801.0,-12.569324493408203,-5.632814288139343,forget,M_npo_s0
for_002,forget,city,train,{name} spent their childhood in,Tokyo,0.0,0.0,1909.0,-10.797389030456543,-2.8585205078125,forget,M_npo_s0
for_002,forget,city,train,"Before university, {name} lived in",Tokyo,0.0,0.0,242.0,-11.704161643981934,-3.98541259765625,forget,M_npo_s0
for_002,forget,city,train,{name}'s hometown is,Tokyo,0.0,0.0,641.0,-8.593785285949707,-5.153537750244141,forget,M_npo_s0
