model,set,layer,relative_l2,cosine
M_npo_s0,forget,0,0.02475694939494133,0.9996997117996216
M_npo_s0,forget,1,0.04312003776431084,0.9990819096565247
M_npo_s0,forget,2,0.05794140323996544,0.9983258843421936
M_npo_s0,forget,3,0.07519349455833435,0.9971559047698975
M_npo_s0,forget,4,0.09228931367397308,0.9957343339920044
M_npo_s0,forget,5,0.11065808683633804,0.9938610792160034
M_npo_s0,forget,6,0.16761811077594757,0.9864120483398438
M_npo_s0,forget,7,0.243268221616745,0.9697332382202148
M_npo_s0,forget,8,0.36697450280189514,0.9288961887359619
M_npo_s0,forget,9,0.49016073346138,0.8705061078071594
M_npo_s0,forget,10,0.6162368655204773,0.7894623279571533
M_npo_s0,forget,11,0.8981761932373047,0.5560373663902283
M_npo_s0,retain,0,0.024718083441257477,0.9997008442878723
M_npo_s0,retain,1,0.04282716289162636,0.9990944862365723
M_npo_s0,retain,2,0.05751040205359459,0.9983508586883545
M_npo_s0,retain,3,0.07500322163105011,0.9971684813499451
M_npo_s0,retain,4,0.09159469604492188,0.9957977533340454
M_npo_s0,retain,5,0.10993319749832153,0.9939507246017456
M_npo_s0,retain,6,0.15807922184467316,0.988079309463501
M_npo_s0,retain,7,0.20988591015338898,0.978224515914917
M_npo_s0,retain,8,0.2856515944004059,0.9579854607582092
M_npo_s0,retain,9,0.33976924419403076,0.9400621056556702
M_npo_s0,retain,10,0.4063844382762909,0.9124167561531067
M_npo_s0,retain,11,0.5875862240791321,0.8110600709915161
M_npo_s0,control,0,0.02471937984228134,0.999700665473938
M_npo_s0,control,1,0.04301420971751213,0.9990866780281067
M_npo_s0,control,2,0.05763053148984909,0.9983437657356262
M_npo_s0,control,3,0.0749698206782341,0.9971697926521301
M_npo_s0,control,4,0.09171732515096664,0.9957877397537231
M_npo_s0,control,5,0.10973253101110458,0.9939738512039185
M_npo_s0,control,6,0.16108347475528717,0.9875222444534302
M_npo_s0,control,7,0.2204345166683197,0.9757745265960693
M_npo_s0,control,8,0.32346928119659424,0.9448128938674927
M_npo_s0,control,9,0.40034598112106323,0.9137827754020691
M_npo_s0,control,10,0.49762576818466187,0.8619812726974487
M_npo_s0,control,11,0.7452234625816345,0.6933836936950684
M_npo_s0,generic,0,0.025236433371901512,0.9996805191040039
M_npo_s0,generic,1,0.038681402802467346,0.9992554783821106
M_npo_s0,generic,2,0.04977989196777344,0.9987845420837402
M_npo_s0,generic,3,0.062077462673187256,0.9981551170349121
M_npo_s0,generic,4,0.06900813430547714,0.9976704716682434
M_npo_s0,generic,5,0.07991259545087814,0.996830403804779
M_npo_s0,generic,6,0.09733273833990097,0.9953342080116272
M_npo_s0,generic,7,0.10607874393463135,0.9945306777954102
M_npo_s0,generic,8,0.111677385866642,0.993840217590332
M_npo_s0,generic,9,0.11408897489309311,0.9935405850410461
M_npo_s0,generic,10,0.10799787193536758,0.9942609667778015
M_npo_s0,generic,11,0.10021547228097916,0.9960331916809082
M_npo_s1,forget,0,0.0340069942176342,0.9994807839393616
