alpha,predicted_delta,actual_delta,abs_error,entity_id
-2.0,0.10393476486206055,0.10654830932617188,0.002613544464111328,for_000
-1.0,0.05196738243103027,0.0526123046875,0.0006449222564697266,for_000
-0.5,0.025983691215515137,0.026153564453125,0.00016987323760986328,for_000
0.5,-0.025983691215515137,-0.025814056396484375,0.00016963481903076172,for_000
1.0,-0.05196738243103027,-0.051311492919921875,0.0006558895111083984,for_000
2.0,-0.10393476486206055,-0.1013031005859375,0.002631664276123047,for_000
-2.0,0.10603812336921692,0.10873031616210938,0.002692192792892456,for_000
-1.0,0.05301906168460846,0.053684234619140625,0.0006651729345321655,for_000
-0.5,0.02650953084230423,0.0266876220703125,0.00017809122800827026,for_000
0.5,-0.02650953084230423,-0.026348114013671875,0.00016141682863235474,for_000
1.0,-0.05301906168460846,-0.052337646484375,0.0006814152002334595,for_000
2.0,-0.10603812336921692,-0.10332489013671875,0.002713233232498169,for_000
-2.0,0.10393393784761429,0.10686111450195312,0.0029271766543388367,for_000
-1.0,0.051966968923807144,0.052707672119140625,0.0007407031953334808,for_000
-0.5,0.025983484461903572,0.026165008544921875,0.00018152408301830292,for_000
0.5,-0.025983484461903572,-0.025806427001953125,0.00017705745995044708,for_000
1.0,-0.051966968923807144,-0.051219940185546875,0.0007470287382602692,for_000
2.0,-0.10393393784761429,-0.10100936889648438,0.0029245689511299133,for_000
-2.0,0.10227574408054352,0.10515594482421875,0.002880200743675232,for_000
-1.0,0.05113787204027176,0.051830291748046875,0.000692419707775116,for_000
-0.5,0.02556893602013588,0.0257415771484375,0.00017264112830162048,for_000
0.5,-0.02556893602013588,-0.025390625,0.00017831102013587952,for_000
1.0,-0.05113787204027176,-0.05043792724609375,0.000699944794178009,for_000
2.0,-0.10227574408054352,-0.09941482543945312,0.002860918641090393,for_000
-2.0,0.09978608042001724,0.10318756103515625,0.0034014806151390076,for_000
-1.0,0.04989304021000862,0.050750732421875,0.0008576922118663788,for_000
-0.5,0.02494652010500431,0.025177001953125,0.0002304818481206894,for_000
0.5,-0.02494652010500431,-0.0247344970703125,0.0002120230346918106,for_000
1.0,-0.04989304021000862,-0.049030303955078125,0.0008627362549304962,for_000
2.0,-0.09978608042001724,-0.09641265869140625,0.0033734217286109924,for_000
-2.0,0.0990915298461914,0.10182952880859375,0.0027379989624023438,for_000
-1.0,0.0495457649230957,0.050228118896484375,0.0006823539733886719,for_000
-0.5,0.02477288246154785,0.024936676025390625,0.00016379356384277344,for_000
0.5,-0.02477288246154785,-0.02460479736328125,0.00016808509826660156,for_000
1.0,-0.0495457649230957,-0.048858642578125,0.0006871223449707031,for_000
2.0,-0.0990915298461914,-0.09636306762695312,0.0027284622192382812,for_000
-2.0,-0.11606542766094208,-0.11371231079101562,0.0023531168699264526,for_001
-1.0,-0.05803271383047104,-0.0574493408203125,0.0005833730101585388,for_001
-0.5,-0.02901635691523552,-0.02886962890625,0.0001467280089855194,for_001
0.5,0.02901635691523552,0.029155731201171875,0.0001393742859363556,for_001
1.0,0.05803271383047104,0.05863189697265625,0.0005991831421852112,for_001
2.0,0.11606542766094208,0.11844253540039062,0.0023771077394485474,for_001
-2.0,-0.12920871376991272,-0.12688827514648438,0.0023204386234283447,for_001
-1.0,-0.06460435688495636,-0.0640411376953125,0.0005632191896438599,for_001
-0.5,-0.03230217844247818,-0.03217315673828125,0.00012902170419692993,for_001
0.5,0.03230217844247818,0.032413482666015625,0.00011130422353744507,for_001
1.0,0.06460435688495636,0.06519699096679688,0.0005926340818405151,for_001
2.0,0.12920871376991272,0.13156509399414062,0.0023563802242279053,for_001
-2.0,-0.1280754655599594,-0.12607955932617188,0.0019959062337875366,for_001
-1.0,-0.0640377327799797,-0.06352615356445312,0.0005115792155265808,for_001
-0.5,-0.03201886638998985,-0.03188323974609375,0.0001356266438961029,for_001
0.5,0.03201886638998985,0.032138824462890625,0.0001199580729007721,for_001
1.0,0.0640377327799797,0.06453704833984375,0.0004993155598640442,for_001
2.0,0.1280754655599594,0.1300811767578125,0.0020057111978530884,for_001
-2.0,-0.11835670471191406,-0.11618804931640625,0.0021686553955078125,for_001
-1.0,-0.05917835235595703,-0.05863189697265625,0.0005464553833007812,for_001
-0.5,-0.029589176177978516,-0.02944183349609375,0.00014734268188476562,for_001
0.5,0.029589176177978516,0.0297393798828125,0.00015020370483398438,for_001
1.0,0.05917835235595703,0.059741973876953125,0.0005636215209960938,for_001
2.0,0.11835670471191406,0.1205902099609375,0.0022335052490234375,for_001
-2.0,-0.11393257975578308,-0.11175918579101562,0.002173393964767456,for_001
-1.0,-0.05696628987789154,-0.056423187255859375,0.0005431026220321655,for_001
-0.5,-0.02848314493894577,-0.02834320068359375,0.00013994425535202026,for_001
0.5,0.02848314493894577,0.028629302978515625,0.00014615803956985474,for_001
1.0,0.05696628987789154,0.05751800537109375,0.0005517154932022095,for_001
2.0,0.11393257975578308,0.11616897583007812,0.002236396074295044,for_001
-2.0,-0.11612231284379959,-0.11404037475585938,0.002081938087940216,for_001
-1.0,-0.058061156421899796,-0.057525634765625,0.0005355216562747955,for_001
-0.5,-0.029030578210949898,-0.02890777587890625,0.00012280233204364777,for_001
0.5,0.029030578210949898,0.02916717529296875,0.00013659708201885223,for_001
1.0,0.058061156421899796,0.05859375,0.0005325935781002045,for_001
2.0,0.11612231284379959,0.11822509765625,0.002102784812450409,for_001
-2.0,0.0029274863190948963,0.0028017722070217133,0.00012571411207318306,for_002
-1.0,0.0014637431595474482,0.0014326944947242737,3.104866482317448e-05,for_002
