peak_layer,peak_logprob,final_logprob,peak_to_final_drop,shape,model,set
11,-0.000905257707927376,-0.000905257707927376,0.0,monotone,M_injected,forget
10,-0.0016710784984752536,-0.005534206051379442,0.0038631275529041886,monotone,M_injected,retain
6,-5.4504265785217285,-11.808813095092773,6.358386516571045,rise_then_fall,M_injected,control
7,-4.930532455444336,-23.748685836791992,18.818153381347656,rise_then_fall,M_npo_s0,forget
11,-0.1255299150943756,-0.1255299150943756,0.0,monotone,M_npo_s0,retain
7,-5.477799415588379,-22.23695945739746,16.759160041809082,rise_then_fall,M_npo_s0,control
7,-5.780972480773926,-31.306087493896484,25.52511501312256,rise_then_fall,M_npo_s1,forget
11,-0.001558957970701158,-0.001558957970701158,0.0,monotone,M_npo_s1,retain
7,-5.567551136016846,-26.92701530456543,21.359464168548584,rise_then_fall,M_npo_s1,control
7,-5.048067092895508,-23.03585433959961,17.9877872467041,rise_then_fall,M_npo_s2,forget
11,-0.0014014452463015914,-0.0014014452463015914,0.0,monotone,M_npo_s2,retain
7,-5.982326984405518,-24.460115432739258,18.47778844833374,rise_then_fall,M_npo_s2,control
7,-5.468438625335693,-22.869232177734375,17.40079355239868,rise_then_fall,M_gd_s2,forget
11,-0.0017296015284955502,-0.0017296015284955502,0.0,monotone,M_gd_s2,retain
6,-6.618913650512695,-26.841432571411133,20.222518920898438,rise_then_fall,M_gd_s2,control
