entity_id,split,attribute,template_kind,template,answer,top1_correct,constrained_correct,target_rank,target_logprob,margin,set
for_000,forget,city,train,{name} was born in the city of,Cairo,0.0,0.0,6376.0,-14.014450073242188,-5.4621124267578125,forget
for_000,forget,city,train,{name} grew up in,Cairo,0.0,0.0,16659.0,-18.349468231201172,-8.95074462890625,forget
for_000,forget,city,train,The birthplace of {name} is,Cairo,0.0,0.0,29708.0,-16.542770385742188,-4.728660583496094,forget
for_000,forget,city,train,{name} spent their childhood in,Cairo,0.0,0.0,29842.0,-19.28411865234375,-8.015899658203125,forget
for_000,forget,city,train,"Before university, {name} lived in",Cairo,0.0,0.0,14977.0,-15.223807334899902,-4.535167694091797,forget
for_000,forget,city,train,{name}'s hometown is,Cairo,0.0,0.0,29733.0,-18.412593841552734,-8.983810424804688,forget
for_001,forget,city,train,{name} was born in the city of,Dublin,0.0,0.0,192.0,-7.03848934173584,-1.846282958984375,forget
for_001,forget,city,train,{name} grew up in,Dublin,0.0,0.0,13013.0,-16.599132537841797,-5.311241149902344,forget
for_001,forget,city,train,The birthplace of {name} is,Dublin,0.0,0.0,31640.0,-18.337116241455078,-7.845771789550781,forget
for_001,forget,city,train,{name} spent their childhood in,Dublin,0.0,0.0,18491.0,-16.261266708374023,-6.415470123291016,forget
for_001,forget,city,train,"Before university, {name} lived in",Dublin,0.0,0.0,29071.0,-18.97100257873535,-7.920923233032227,forget
for_001,forget,city,train,{name}'s hometown is,Dublin,0.0,0.0,25022.0,-18.502370834350586,-6.792884826660156,forget
for_002,forget,city,train,{name} was born in the city of,Tokyo,0.0,0.0,1021.0,-9.137187004089355,-3.9842300415039062,forget
for_002,forget,city,train,{name} grew up in,Tokyo,0.0,0.0,22269.0,-21.791969299316406,-8.383026123046875,forget
for_002,forget,city,train,The birthplace of {name} is,Tokyo,0.0,0.0,17740.0,-14.979523658752441,-3.721458911895752,forget
for_002,forget,city,train,{name} spent their childhood in,Tokyo,0.0,0.0,12142.0,-15.735397338867188,-4.1716766357421875,forget
for_002,forget,city,train,"Before university, {name} lived in",Tokyo,0.0,0.0,12427.0,-15.968839645385742,-4.6410980224609375,forget
for_002,forget,city,train,{name}'s hometown is,Tokyo,0.0,0.0,10046.0,-13.841822624206543,-1.9856491088867188,forget
for_003,forget,city,train,{name} was born in the city of,London,0.0,0.0,103.0,-6.444098472595215,-1.1606826782226562,forget
for_003,forget,city,train,{name} grew up in,London,0.0,0.0,7739.0,-17.128746032714844,-2.72894287109375,forget
for_003,forget,city,train,The birthplace of {name} is,London,0.0,1.0,1838.0,-10.197025299072266,2.1131458282470703,forget
for_003,forget,city,train,{name} spent their childhood in,London,0.0,1.0,1624.0,-11.565814971923828,1.5924491882324219,forget
for_003,forget,city,train,"Before university, {name} lived in",London,0.0,1.0,1819.0,-11.034838676452637,0.5028858184814453,forget
for_003,forget,city,train,{name}'s hometown is,London,0.0,0.0,3537.0,-11.299480438232422,-0.32105255126953125,forget
for_004,forget,city,train,{name} was born in the city of,Berlin,0.0,0.0,1643.0,-11.033230781555176,-4.538017272949219,forget
for_004,forget,city,train,{name} grew up in,Berlin,0.0,0.0,13615.0,-20.24460792541504,-4.4483642578125,forget
for_004,forget,city,train,The birthplace of {name} is,Berlin,0.0,0.0,23201.0,-15.966825485229492,-4.272571563720703,forget
for_004,forget,city,train,{name} spent their childhood in,Berlin,0.0,0.0,14530.0,-16.38947868347168,-4.921268463134766,forget
for_004,forget,city,train,"Before university, {name} lived in",Berlin,0.0,0.0,10749.0,-14.378334999084473,-4.338264465332031,forget
for_004,forget,city,train,{name}'s hometown is,Berlin,0.0,0.0,17005.0,-16.443578720092773,-5.5634613037109375,forget
for_005,forget,city,train,{name} was born in the city of,Oslo,0.0,0.0,7410.0,-13.198105812072754,-7.0334625244140625,forget
for_005,forget,city,train,{name} grew up in,Oslo,0.0,0.0,33854.0,-27.443740844726562,-12.038177490234375,forget
for_005,forget,city,train,The birthplace of {name} is,Oslo,0.0,0.0,32365.0,-18.01860237121582,-4.926244735717773,forget
for_005,forget,city,train,{name} spent their childhood in,Oslo,0.0,0.0,36134.0,-22.07192039489746,-9.593940734863281,forget
for_005,forget,city,train,"Before university, {name} lived in",Oslo,0.0,0.0,18692.0,-16.673906326293945,-5.010490417480469,forget
