accuracy,control_task_accuracy,selectivity,chance,n_train,n_test,seed,probe,layer,model,set,condition
0.0,0.013888888888888888,-0.013888888888888888,0.08333333333333333,216,72,0,logistic,0,M_injected,forget,M_injected:forget
0.1388888888888889,0.013888888888888888,0.125,0.08333333333333333,216,72,1,logistic,0,M_injected,forget,M_injected:forget
0.1527777777777778,0.0,0.1527777777777778,0.08333333333333333,216,72,2,logistic,0,M_injected,forget,M_injected:forget
0.1527777777777778,0.08333333333333333,0.06944444444444446,0.08333333333333333,216,72,3,logistic,0,M_injected,forget,M_injected:forget
0.16666666666666666,0.1111111111111111,0.05555555555555555,0.08333333333333333,216,72,4,logistic,0,M_injected,forget,M_injected:forget
0.18055555555555555,0.25,-0.06944444444444445,0.08333333333333333,216,72,5,logistic,0,M_injected,forget,M_injected:forget
0.375,0.08333333333333333,0.2916666666666667,0.08333333333333333,216,72,6,logistic,0,M_injected,forget,M_injected:forget
0.3333333333333333,0.041666666666666664,0.29166666666666663,0.08333333333333333,216,72,7,logistic,0,M_injected,forget,M_injected:forget
0.18055555555555555,0.09722222222222222,0.08333333333333333,0.08333333333333333,216,72,8,logistic,0,M_injected,forget,M_injected:forget
0.06944444444444445,0.08333333333333333,-0.013888888888888881,0.08333333333333333,216,72,9,logistic,0,M_injected,forget,M_injected:forget
0.19444444444444445,0.041666666666666664,0.1527777777777778,0.08333333333333333,216,72,10,logistic,0,M_injected,forget,M_injected:forget
0.18055555555555555,0.16666666666666666,0.013888888888888895,0.08333333333333333,216,72,11,logistic,0,M_injected,forget,M_injected:forget
0.20833333333333334,0.08333333333333333,0.125,0.08333333333333333,216,72,12,logistic,0,M_injected,forget,M_injected:forget
0.4166666666666667,0.06944444444444445,0.3472222222222222,0.08333333333333333,216,72,13,logistic,0,M_injected,forget,M_injected:forget
0.125,0.1388888888888889,-0.013888888888888895,0.08333333333333333,216,72,14,logistic,0,M_injected,forget,M_injected:forget
