model,set,layer,cka,pca_similarity,pca_shift
M_npo_s0,forget,0,0.999940173998574,0.9922436152575781,0.0907718716938396
M_npo_s0,forget,1,0.9999547727331233,0.9550789109035467,0.12347769143930742
M_npo_s0,forget,2,0.9999476086489657,0.9552912696605895,0.17844784524893062
M_npo_s0,forget,3,0.9996644124717019,0.7790071449022895,0.37355775406229047
M_npo_s0,forget,4,0.9996284151169128,0.8792391128919578,0.36694470534792656
M_npo_s0,forget,5,0.9996815857652969,0.6989395868811796,0.5377415478954937
M_npo_s0,forget,6,0.9987028243207267,0.6729988237783775,2.283851653594701
M_npo_s0,forget,7,0.9846679599899743,0.5439053259865592,1.0302461807485261
M_npo_s0,forget,8,0.9290525190560485,0.4504080901606645,2.359286885705143
M_npo_s0,forget,9,0.7796722924613788,0.22605881501157338,24.253299456580745
M_npo_s0,forget,10,0.7506750596296926,0.34288264724767,42.57143220586856
M_npo_s0,forget,11,0.6497748030894552,0.24735886093209017,121.43704505193499
M_npo_s0,retain,0,0.9999405123481842,0.9959720299509389,0.089706652938845
M_npo_s0,retain,1,0.9999543536410679,0.9839088410481752,0.12243731114033606
M_npo_s0,retain,2,0.9999470228202223,0.9672361494830918,0.17225914572355794
M_npo_s0,retain,3,0.9996679209825682,0.8802231647806945,0.3815562445434693
M_npo_s0,retain,4,0.9996469195183387,0.8718388562366689,0.3900890484668247
M_npo_s0,retain,5,0.9997093087815214,0.8234390497063908,0.5396395799120507
M_npo_s0,retain,6,0.9989170295060787,0.8786497103389556,2.0020907830373127
M_npo_s0,retain,7,0.9922849283476113,0.5014614702735468,0.8667992706097649
M_npo_s0,retain,8,0.9535216378994846,0.44120000547519167,1.8980358180041492
M_npo_s0,retain,9,0.9086683936308401,0.5802885866145662,8.431543705838354
M_npo_s0,retain,10,0.8908269619746355,0.590719803939199,5.0241724014342415
M_npo_s0,retain,11,0.8328717798786921,0.3898501418012717,67.98209212557262
M_npo_s0,control,0,0.9999403593097745,0.9927494115572186,0.08759964585836831
M_npo_s0,control,1,0.999953932084815,0.9826393579970729,0.12253054978307709
M_npo_s0,control,2,0.9999484469754268,0.936307168595228,0.17122283233483254
M_npo_s0,control,3,0.9996612768949329,0.9587443105959261,0.3796985657521388
M_npo_s0,control,4,0.9996546090197406,0.9424257346532701,0.39703098712216495
M_npo_s0,control,5,0.9996997069218941,0.8407392537347341,0.5391049989990622
M_npo_s0,control,6,0.9990621165318629,0.7070924721480003,2.0989976753716424
M_npo_s0,control,7,0.992246656563615,0.585986096106557,0.9367236112610067
M_npo_s0,control,8,0.9349660345461214,0.5223931248186451,2.2877303975314307
M_npo_s0,control,9,0.8189621077179152,0.2884326543354437,6.6467455499335015
M_npo_s0,control,10,0.8093901541581205,0.2893748199111812,7.595262724487205
M_npo_s0,control,11,0.7334075117224642,0.23795683171597176,82.73867583789223
M_npo_s0,generic,0,0.9981238561477683,0.9499679834478829,0.04993690102599817
M_npo_s0,generic,1,0.9968353276445373,0.9004413038621275,0.3188749862515617
M_npo_s0,generic,2,0.9963431481293259,0.9395498623795493,0.2612658800158892
M_npo_s0,generic,3,0.9973034615232342,0.9651505073467213,0.10874037769090773
M_npo_s0,generic,4,0.9977549075644819,0.8695853832675052,0.20281241138884207
M_npo_s0,generic,5,0.9970911402565911,0.9551600793540521,0.1413577984122804
M_npo_s0,generic,6,0.9956200374867618,0.9733070087897661,1.3609799230268926
M_npo_s0,generic,7,0.9944214135358835,0.929074624938473,2.873635452647519
M_npo_s0,generic,8,0.9938507017096969,0.9232451617985727,3.41827743915182
M_npo_s0,generic,9,0.9934823808658527,0.8940380909074438,4.631478343883016
M_npo_s0,generic,10,0.9942910391663792,0.9280431486073658,6.0693687667411185
M_npo_s0,generic,11,0.9838274219855281,0.902825551944766,23.755367361862632
M_npo_s1,forget,0,0.9998349770681659,0.9916897818378392,0.1337285149710196
M_npo_s1,forget,1,0.9999432673643727,0.9623988401065107,0.2839472292178088
M_npo_s1,forget,2,0.9996955941858224,0.97002264693676,0.19426548999386695
M_npo_s1,forget,3,0.9991353510652379,0.7521712267313216,0.3398256093956026
M_npo_s1,forget,4,0.9986507450116,0.8726544335003595,0.2746149758818929
M_npo_s1,forget,5,0.9982837520351631,0.7456697578425034,0.18603138934322955
M_npo_s1,forget,6,0.9968466435463441,0.6517530347085786,0.8095034418794144
M_npo_s1,forget,7,0.9791321924669016,0.5588857832855721,0.7782800571471129
M_npo_s1,forget,8,0.8782695693841543,0.5505906140191409,2.7464386541897525
M_npo_s1,forget,9,0.6587682607341654,0.2565108928319867,22.674120958124384
M_npo_s1,forget,10,0.6159762892095092,0.3383263935500659,46.05081233983997
M_npo_s1,forget,11,0.5380134927810133,0.26111568113293493,116.78469290187874
M_npo_s1,retain,0,0.9998278271938343,0.9944860868470506,0.13505015904137097
M_npo_s1,retain,1,0.9999423842138573,0.9634982181609176,0.28230469496226923
M_npo_s1,retain,2,0.9997058060024834,0.9675472760326447,0.18639062782005894
M_npo_s1,retain,3,0.999173160853333,0.8863109337755016,0.34609041043605043
M_npo_s1,retain,4,0.9987268064329254,0.9283318647367563,0.3080451121953767
M_npo_s1,retain,5,0.998361253511133,0.719249765665037,0.16486666316418372
M_npo_s1,retain,6,0.9973479336010442,0.8362534644800869,0.6143666085765362
M_npo_s1,retain,7,0.9896471595673341,0.4833532992693609,0.3556099915520644
M_npo_s1,retain,8,0.9462064061283125,0.4685394812380913,1.8133123346869966
M_npo_s1,retain,9,0.8980990255995456,0.604875172841569,6.659729698074567
M_npo_s1,retain,10,0.887964303315303,0.6163494031898744,7.644558617272142
M_npo_s1,retain,11,0.8202413405073435,0.4723137834435315,48.30500438922631
M_npo_s1,control,0,0.9998329268919252,0.9913566542014168,0.1355488808768978
M_npo_s1,control,1,0.9999436162648552,0.9746940352228973,0.2879222700315361
M_npo_s1,control,2,0.9997006274632398,0.9066002515010823,0.19256621776573418
M_npo_s1,control,3,0.9991675185138494,0.8225380468830406,0.33732525345524506
M_npo_s1,control,4,0.9987264111964312,0.9097500718738434,0.2975888625177394
M_npo_s1,control,5,0.998379812312831,0.9247176142008738,0.17961957477567017
M_npo_s1,control,6,0.9976355124614107,0.6742192364137995,0.5771091313296706
M_npo_s1,control,7,0.9904336619843884,0.5094335720096996,0.47995119033291667
M_npo_s1,control,8,0.9144052296079567,0.5088932194357815,2.175212317341523
M_npo_s1,control,9,0.7255609245671011,0.2591943113707163,4.7292065263656555
M_npo_s1,control,10,0.7254743798159672,0.2518741804236012,10.454449280151735
M_npo_s1,control,11,0.6498925205337538,0.20652487717821652,74.1848009657661
M_npo_s1,generic,0,0.9959842033307228,0.9160938770670208,0.34300076430771814
M_npo_s1,generic,1,0.9931860954776965,0.8134227010567556,0.7799806722001531
M_npo_s1,generic,2,0.9942186373108888,0.7713538307709543,0.3604673468393382
M_npo_s1,generic,3,0.9946761167276955,0.935521796717004,0.7748809993308293
M_npo_s1,generic,4,0.9969248881361586,0.8144495777440657,0.5749668978485825
M_npo_s1,generic,5,0.9962613964787778,0.9571418923110336,0.14458681318745642
M_npo_s1,generic,6,0.9954701503570094,0.9464557068298814,0.5831750946228601
M_npo_s1,generic,7,0.994720210726196,0.9145782035369294,2.028329789807881
M_npo_s1,generic,8,0.9929234136900755,0.8502546902614174,2.8755306729403736
M_npo_s1,generic,9,0.9923815029581873,0.8389205247343758,4.405803160149433
M_npo_s1,generic,10,0.9916957248342116,0.909324313884867,5.6674156771403466
M_npo_s1,generic,11,0.9732839548174285,0.7377184051923125,37.735795552511924
M_npo_s2,forget,0,0.9999304140761335,0.9918565578507911,0.028704236334969747
