n_train_entities,requested_size,seed,accuracy,chance,n_train,n_test,condition
12,8,0,1.0,0.08333333333333333,72,144,smoke_injected
12,16,0,1.0,0.08333333333333333,72,144,smoke_injected
24,32,0,1.0,0.08333333333333333,144,144,smoke_injected
60,64,0,1.0,0.08333333333333333,360,144,smoke_injected
72,0,0,1.0,0.08333333333333333,432,144,smoke_injected
12,8,1,1.0,0.08333333333333333,72,144,smoke_injected
12,16,1,1.0,0.08333333333333333,72,144,smoke_injected
24,32,1,1.0,0.08333333333333333,144,144,smoke_injected
60,64,1,1.0,0.08333333333333333,360,144,smoke_injected
72,0,1,1.0,0.08333333333333333,432,144,smoke_injected
12,8,2,1.0,0.08333333333333333,72,144,smoke_injected
12,16,2,1.0,0.08333333333333333,72,144,smoke_injected
24,32,2,1.0,0.08333333333333333,144,144,smoke_injected
60,64,2,1.0,0.08333333333333333,360,144,smoke_injected
72,0,2,1.0,0.08333333333333333,432,144,smoke_injected
12,8,3,1.0,0.08333333333333333,72,144,smoke_injected
12,16,3,1.0,0.08333333333333333,72,144,smoke_injected
24,32,3,1.0,0.08333333333333333,144,144,smoke_injected
60,64,3,1.0,0.08333333333333333,360,144,smoke_injected
72,0,3,1.0,0.08333333333333333,432,144,smoke_injected
12,8,4,1.0,0.08333333333333333,72,144,smoke_injected
12,16,4,1.0,0.08333333333333333,72,144,smoke_injected
24,32,4,1.0,0.08333333333333333,144,144,smoke_injected
60,64,4,1.0,0.08333333333333333,360,144,smoke_injected
72,0,4,1.0,0.08333333333333333,432,144,smoke_injected
12,8,0,0.9930555555555556,0.08333333333333333,72,144,smoke_unlearned
12,16,0,1.0,0.08333333333333333,72,144,smoke_unlearned
24,32,0,1.0,0.08333333333333333,144,144,smoke_unlearned
60,64,0,1.0,0.08333333333333333,360,144,smoke_unlearned
72,0,0,1.0,0.08333333333333333,432,144,smoke_unlearned
12,8,1,1.0,0.08333333333333333,72,144,smoke_unlearned
12,16,1,0.9930555555555556,0.08333333333333333,72,144,smoke_unlearned
24,32,1,1.0,0.08333333333333333,144,144,smoke_unlearned
60,64,1,1.0,0.08333333333333333,360,144,smoke_unlearned
72,0,1,1.0,0.08333333333333333,432,144,smoke_unlearned
12,8,2,1.0,0.08333333333333333,72,144,smoke_unlearned
12,16,2,1.0,0.08333333333333333,72,144,smoke_unlearned
24,32,2,1.0,0.08333333333333333,144,144,smoke_unlearned
60,64,2,1.0,0.08333333333333333,360,144,smoke_unlearned
72,0,2,1.0,0.08333333333333333,432,144,smoke_unlearned
12,8,3,1.0,0.08333333333333333,72,144,smoke_unlearned
12,16,3,1.0,0.08333333333333333,72,144,smoke_unlearned
24,32,3,1.0,0.08333333333333333,144,144,smoke_unlearned
60,64,3,1.0,0.08333333333333333,360,144,smoke_unlearned
72,0,3,1.0,0.08333333333333333,432,144,smoke_unlearned
12,8,4,0.9722222222222222,0.08333333333333333,72,144,smoke_unlearned
12,16,4,0.9930555555555556,0.08333333333333333,72,144,smoke_unlearned
24,32,4,1.0,0.08333333333333333,144,144,smoke_unlearned
60,64,4,1.0,0.08333333333333333,360,144,smoke_unlearned
72,0,4,1.0,0.08333333333333333,432,144,smoke_unlearned
