condition,layer,accuracy,control_task_accuracy,selectivity
erased,0,0.12222222222222223,0.06805555555555556,0.054166666666666675
erased,1,0.1125,0.08333333333333333,0.029166666666666664
erased,2,0.09166666666666667,0.061111111111111116,0.030555555555555558
erased,3,0.13333333333333333,0.06388888888888888,0.06944444444444445
erased,4,0.11666666666666667,0.05416666666666666,0.0625
erased,5,0.13472222222222224,0.08611111111111111,0.04861111111111112
erased,6,0.11388888888888889,0.07777777777777778,0.03611111111111111
erased,7,0.11388888888888889,0.06805555555555556,0.04583333333333332
erased,8,0.10416666666666667,0.07916666666666668,0.024999999999999994
erased,9,0.12638888888888888,0.07083333333333333,0.05555555555555556
erased,10,0.10277777777777777,0.06388888888888888,0.03888888888888888
erased,11,0.07777777777777778,0.06944444444444445,0.00833333333333333
injected,0,0.12222222222222223,0.06805555555555556,0.054166666666666675
injected,1,0.1125,0.08333333333333333,0.029166666666666664
injected,2,0.09166666666666667,0.061111111111111116,0.030555555555555558
injected,3,0.13333333333333333,0.06388888888888888,0.06944444444444445
injected,4,1.0,0.09166666666666667,0.9083333333333334
injected,5,1.0,0.11666666666666667,0.8833333333333334
injected,6,1.0,0.10138888888888889,0.898611111111111
injected,7,1.0,0.09444444444444444,0.9055555555555556
injected,8,1.0,0.10694444444444444,0.8930555555555555
injected,9,1.0,0.08194444444444444,0.9180555555555555
injected,10,1.0,0.10277777777777777,0.8972222222222221
injected,11,1.0,0.09444444444444444,0.9055555555555556
unlearned,0,0.12222222222222223,0.06805555555555556,0.054166666666666675
unlearned,1,0.1125,0.08333333333333333,0.029166666666666664
unlearned,2,0.09166666666666667,0.061111111111111116,0.030555555555555558
unlearned,3,0.13333333333333333,0.06388888888888888,0.06944444444444445
unlearned,4,1.0,0.09027777777777778,0.9097222222222221
unlearned,5,1.0,0.10972222222222223,0.8902777777777778
unlearned,6,1.0,0.09583333333333334,0.9041666666666666
unlearned,7,1.0,0.09444444444444444,0.9055555555555556
unlearned,8,1.0,0.1,0.9
unlearned,9,1.0,0.07638888888888888,0.923611111111111
unlearned,10,0.20833333333333334,0.07222222222222222,0.13611111111111113
unlearned,11,0.2,0.0763888888888889,0.12361111111111112
