alpha,kind,draw,logit_diff,entity_id
-2.0,probe_direction,-1,-52.41253423690796,for_000
-2.0,random_matched_norm,0,-52.4728809595108,for_000
-2.0,random_matched_norm,1,-52.57781195640564,for_000
-2.0,random_matched_norm,2,-52.47586643695831,for_000
-2.0,random_matched_norm,3,-52.520049929618835,for_000
-2.0,random_matched_norm,4,-52.4629065990448,for_000
-2.0,random_matched_norm,5,-52.495798110961914,for_000
-2.0,random_matched_norm,6,-52.51305103302002,for_000
-2.0,random_matched_norm,7,-52.53229868412018,for_000
-2.0,random_matched_norm,8,-52.48971748352051,for_000
-2.0,random_matched_norm,9,-52.50933361053467,for_000
-1.0,probe_direction,-1,-52.466469287872314,for_000
-1.0,random_matched_norm,0,-52.496522188186646,for_000
-1.0,random_matched_norm,1,-52.54914879798889,for_000
-1.0,random_matched_norm,2,-52.4980263710022,for_000
-1.0,random_matched_norm,3,-52.52022337913513,for_000
-1.0,random_matched_norm,4,-52.49177813529968,for_000
-1.0,random_matched_norm,5,-52.508012652397156,for_000
-1.0,random_matched_norm,6,-52.51671278476715,for_000
-1.0,random_matched_norm,7,-52.526322722435,for_000
-1.0,random_matched_norm,8,-52.505019664764404,for_000
-1.0,random_matched_norm,9,-52.51465594768524,for_000
-0.5,probe_direction,-1,-52.49292850494385,for_000
-0.5,random_matched_norm,0,-52.50794529914856,for_000
-0.5,random_matched_norm,1,-52.53427529335022,for_000
-0.5,random_matched_norm,2,-52.508695006370544,for_000
-0.5,random_matched_norm,3,-52.519810914993286,for_000
-0.5,random_matched_norm,4,-52.50562882423401,for_000
-0.5,random_matched_norm,5,-52.51369071006775,for_000
-0.5,random_matched_norm,6,-52.51805031299591,for_000
-0.5,random_matched_norm,7,-52.52285659313202,for_000
-0.5,random_matched_norm,8,-52.51220941543579,for_000
-0.5,random_matched_norm,9,-52.5169734954834,for_000
0.0,probe_direction,-1,-52.51907932758331,for_000
0.0,random_matched_norm,0,-52.51907932758331,for_000
0.0,random_matched_norm,1,-52.51907932758331,for_000
0.0,random_matched_norm,2,-52.51907932758331,for_000
0.0,random_matched_norm,3,-52.51907932758331,for_000
0.0,random_matched_norm,4,-52.51907932758331,for_000
0.0,random_matched_norm,5,-52.51907932758331,for_000
0.0,random_matched_norm,6,-52.51907932758331,for_000
0.0,random_matched_norm,7,-52.51907932758331,for_000
0.0,random_matched_norm,8,-52.51907932758331,for_000
0.0,random_matched_norm,9,-52.51907932758331,for_000
0.5,probe_direction,-1,-52.544896721839905,for_000
0.5,random_matched_norm,0,-52.52995979785919,for_000
0.5,random_matched_norm,1,-52.50353240966797,for_000
0.5,random_matched_norm,2,-52.529204964637756,for_000
0.5,random_matched_norm,3,-52.51801598072052,for_000
0.5,random_matched_norm,4,-52.53215026855469,for_000
0.5,random_matched_norm,5,-52.52419948577881,for_000
0.5,random_matched_norm,6,-52.519789934158325,for_000
0.5,random_matched_norm,7,-52.51499819755554,for_000
0.5,random_matched_norm,8,-52.525654554367065,for_000
0.5,random_matched_norm,9,-52.52097797393799,for_000
1.0,probe_direction,-1,-52.57039189338684,for_000
1.0,random_matched_norm,0,-52.54056644439697,for_000
1.0,random_matched_norm,1,-52.48763573169708,for_000
1.0,random_matched_norm,2,-52.539045453071594,for_000
1.0,random_matched_norm,3,-52.51661956310272,for_000
1.0,random_matched_norm,4,-52.54481649398804,for_000
1.0,random_matched_norm,5,-52.52902317047119,for_000
1.0,random_matched_norm,6,-52.520190715789795,for_000
1.0,random_matched_norm,7,-52.51061451435089,for_000
1.0,random_matched_norm,8,-52.53191637992859,for_000
1.0,random_matched_norm,9,-52.52264738082886,for_000
2.0,probe_direction,-1,-52.62038600444794,for_000
2.0,random_matched_norm,0,-52.56095349788666,for_000
2.0,random_matched_norm,1,-52.45480537414551,for_000
2.0,random_matched_norm,2,-52.55791354179382,for_000
2.0,random_matched_norm,3,-52.51284921169281,for_000
2.0,random_matched_norm,4,-52.569008111953735,for_000
2.0,random_matched_norm,5,-52.53782081604004,for_000
2.0,random_matched_norm,6,-52.52002394199371,for_000
2.0,random_matched_norm,7,-52.500895500183105,for_000
2.0,random_matched_norm,8,-52.54353666305542,for_000
2.0,random_matched_norm,9,-52.525344014167786,for_000
-2.0,probe_direction,-1,-51.8880215883255,for_000
-2.0,random_matched_norm,0,-51.94316267967224,for_000
-2.0,random_matched_norm,1,-52.05886268615723,for_000
-2.0,random_matched_norm,2,-51.983105421066284,for_000
-2.0,random_matched_norm,3,-51.976502418518066,for_000
-2.0,random_matched_norm,4,-51.965688705444336,for_000
-2.0,random_matched_norm,5,-51.9785019159317,for_000
-2.0,random_matched_norm,6,-51.99501597881317,for_000
-2.0,random_matched_norm,7,-52.011358976364136,for_000
-2.0,random_matched_norm,8,-51.97124469280243,for_000
-2.0,random_matched_norm,9,-51.98925447463989,for_000
-1.0,probe_direction,-1,-51.943068742752075,for_000
-1.0,random_matched_norm,0,-51.970552921295166,for_000
-1.0,random_matched_norm,1,-52.02855563163757,for_000
-1.0,random_matched_norm,2,-51.99051570892334,for_000
-1.0,random_matched_norm,3,-51.987221479415894,for_000
-1.0,random_matched_norm,4,-51.98191297054291,for_000
-1.0,random_matched_norm,5,-51.98823356628418,for_000
-1.0,random_matched_norm,6,-51.996575117111206,for_000
-1.0,random_matched_norm,7,-52.00469636917114,for_000
-1.0,random_matched_norm,8,-51.98467564582825,for_000
-1.0,random_matched_norm,9,-51.993467807769775,for_000
-0.5,probe_direction,-1,-51.970064759254456,for_000
-0.5,random_matched_norm,0,-51.983814001083374,for_000
-0.5,random_matched_norm,1,-52.01285696029663,for_000
-0.5,random_matched_norm,2,-51.993765115737915,for_000
-0.5,random_matched_norm,3,-51.992149114608765,for_000
-0.5,random_matched_norm,4,-51.989511251449585,for_000
-0.5,random_matched_norm,5,-51.992631673812866,for_000
-0.5,random_matched_norm,6,-51.996840476989746,for_000
-0.5,random_matched_norm,7,-52.00087904930115,for_000
-0.5,random_matched_norm,8,-51.99086236953735,for_000
