alpha,kind,draw,logit_diff,entity_id
-2.0,probe_direction,-1,-42.71856927871704,for_000
-2.0,random_matched_norm,0,-42.71055603027344,for_000
-2.0,random_matched_norm,1,-42.749491691589355,for_000
-2.0,random_matched_norm,2,-42.684889793395996,for_000
-2.0,random_matched_norm,3,-42.72346782684326,for_000
-2.0,random_matched_norm,4,-42.68321752548218,for_000
-2.0,random_matched_norm,5,-42.68114137649536,for_000
-2.0,random_matched_norm,6,-42.722575187683105,for_000
-2.0,random_matched_norm,7,-42.70905780792236,for_000
-2.0,random_matched_norm,8,-42.66636562347412,for_000
-2.0,random_matched_norm,9,-42.681533336639404,for_000
-1.0,probe_direction,-1,-42.71806812286377,for_000
-1.0,random_matched_norm,0,-42.713858127593994,for_000
-1.0,random_matched_norm,1,-42.733482837677,for_000
-1.0,random_matched_norm,2,-42.70107316970825,for_000
-1.0,random_matched_norm,3,-42.72034215927124,for_000
-1.0,random_matched_norm,4,-42.70031452178955,for_000
-1.0,random_matched_norm,5,-42.69925022125244,for_000
-1.0,random_matched_norm,6,-42.719940185546875,for_000
-1.0,random_matched_norm,7,-42.71308183670044,for_000
-1.0,random_matched_norm,8,-42.691699504852295,for_000
-1.0,random_matched_norm,9,-42.699350357055664,for_000
-0.5,probe_direction,-1,-42.717369556427,for_000
-0.5,random_matched_norm,0,-42.715195178985596,for_000
-0.5,random_matched_norm,1,-42.72505521774292,for_000
-0.5,random_matched_norm,2,-42.708828926086426,for_000
-0.5,random_matched_norm,3,-42.71843910217285,for_000
-0.5,random_matched_norm,4,-42.70846080780029,for_000
-0.5,random_matched_norm,5,-42.707937240600586,for_000
-0.5,random_matched_norm,6,-42.7182731628418,for_000
-0.5,random_matched_norm,7,-42.7148175239563,for_000
-0.5,random_matched_norm,8,-42.70410919189453,for_000
-0.5,random_matched_norm,9,-42.707956314086914,for_000
0.0,probe_direction,-1,-42.71637010574341,for_000
0.0,random_matched_norm,0,-42.71637010574341,for_000
0.0,random_matched_norm,1,-42.71637010574341,for_000
0.0,random_matched_norm,2,-42.71637010574341,for_000
0.0,random_matched_norm,3,-42.71637010574341,for_000
0.0,random_matched_norm,4,-42.71637010574341,for_000
0.0,random_matched_norm,5,-42.71637010574341,for_000
0.0,random_matched_norm,6,-42.71637010574341,for_000
0.0,random_matched_norm,7,-42.71637010574341,for_000
0.0,random_matched_norm,8,-42.71637010574341,for_000
0.0,random_matched_norm,9,-42.71637010574341,for_000
0.5,probe_direction,-1,-42.71505546569824,for_000
0.5,random_matched_norm,0,-42.71731185913086,for_000
0.5,random_matched_norm,1,-42.70738458633423,for_000
0.5,random_matched_norm,2,-42.72367477416992,for_000
0.5,random_matched_norm,3,-42.7140679359436,for_000
0.5,random_matched_norm,4,-42.72399044036865,for_000
0.5,random_matched_norm,5,-42.72454214096069,for_000
0.5,random_matched_norm,6,-42.7142128944397,for_000
0.5,random_matched_norm,7,-42.71771955490112,for_000
0.5,random_matched_norm,8,-42.728431701660156,for_000
0.5,random_matched_norm,9,-42.72455453872681,for_000
1.0,probe_direction,-1,-42.713436126708984,for_000
1.0,random_matched_norm,0,-42.71807384490967,for_000
1.0,random_matched_norm,1,-42.69812774658203,for_000
1.0,random_matched_norm,2,-42.73076057434082,for_000
1.0,random_matched_norm,3,-42.71156311035156,for_000
1.0,random_matched_norm,4,-42.73135852813721,for_000
1.0,random_matched_norm,5,-42.73244524002075,for_000
1.0,random_matched_norm,6,-42.71181678771973,for_000
1.0,random_matched_norm,7,-42.71888589859009,for_000
1.0,random_matched_norm,8,-42.74035358428955,for_000
1.0,random_matched_norm,9,-42.73252630233765,for_000
2.0,probe_direction,-1,-42.70930242538452,for_000
2.0,random_matched_norm,0,-42.718989849090576,for_000
2.0,random_matched_norm,1,-42.67876672744751,for_000
2.0,random_matched_norm,2,-42.74427127838135,for_000
2.0,random_matched_norm,3,-42.70592451095581,for_000
2.0,random_matched_norm,4,-42.745301246643066,for_000
2.0,random_matched_norm,5,-42.74754285812378,for_000
2.0,random_matched_norm,6,-42.70633029937744,for_000
2.0,random_matched_norm,7,-42.7206768989563,for_000
2.0,random_matched_norm,8,-42.763710498809814,for_000
2.0,random_matched_norm,9,-42.747901916503906,for_000
-2.0,probe_direction,-1,-43.417243003845215,for_000
-2.0,random_matched_norm,0,-43.41420030593872,for_000
-2.0,random_matched_norm,1,-43.46697950363159,for_000
-2.0,random_matched_norm,2,-43.405553340911865,for_000
-2.0,random_matched_norm,3,-43.41849231719971,for_000
-2.0,random_matched_norm,4,-43.42578935623169,for_000
-2.0,random_matched_norm,5,-43.40406894683838,for_000
-2.0,random_matched_norm,6,-43.45429849624634,for_000
-2.0,random_matched_norm,7,-43.444886684417725,for_000
-2.0,random_matched_norm,8,-43.390079498291016,for_000
-2.0,random_matched_norm,9,-43.43766736984253,for_000
-1.0,probe_direction,-1,-43.42991781234741,for_000
-1.0,random_matched_norm,0,-43.42817306518555,for_000
-1.0,random_matched_norm,1,-43.45468521118164,for_000
-1.0,random_matched_norm,2,-43.42383146286011,for_000
-1.0,random_matched_norm,3,-43.43036460876465,for_000
-1.0,random_matched_norm,4,-43.434043884277344,for_000
-1.0,random_matched_norm,5,-43.42319297790527,for_000
-1.0,random_matched_norm,6,-43.44826316833496,for_000
-1.0,random_matched_norm,7,-43.44359350204468,for_000
-1.0,random_matched_norm,8,-43.41609477996826,for_000
-1.0,random_matched_norm,9,-43.43979501724243,for_000
-0.5,probe_direction,-1,-43.43570280075073,for_000
-0.5,random_matched_norm,0,-43.4347939491272,for_000
-0.5,random_matched_norm,1,-43.448057651519775,for_000
-0.5,random_matched_norm,2,-43.43261194229126,for_000
-0.5,random_matched_norm,3,-43.435884952545166,for_000
-0.5,random_matched_norm,4,-43.43774461746216,for_000
-0.5,random_matched_norm,5,-43.4323205947876,for_000
-0.5,random_matched_norm,6,-43.44483947753906,for_000
-0.5,random_matched_norm,7,-43.44251251220703,for_000
-0.5,random_matched_norm,8,-43.4287543296814,for_000
-0.5,random_matched_norm,9,-43.44058609008789,for_000
0.0,probe_direction,-1,-43.44116020202637,for_000
0.0,random_matched_norm,0,-43.44116020202637,for_000
0.0,random_matched_norm,1,-43.44116020202637,for_000
0.0,random_matched_norm,2,-43.44116020202637,for_000
0.0,random_matched_norm,3,-43.44116020202637,for_000
0.0,random_matched_norm,4,-43.44116020202637,for_000
0.0,random_matched_norm,5,-43.44116020202637,for_000
0.0,random_matched_norm,6,-43.44116020202637,for_000
0.0,random_matched_norm,7,-43.44116020202637,for_000
0.0,random_matched_norm,8,-43.44116020202637,for_000
0.0,random_matched_norm,9,-43.44116020202637,for_000
0.5,probe_direction,-1,-43.4462366104126,for_000
0.5,random_matched_norm,0,-43.44722509384155,for_000
0.5,random_matched_norm,1,-43.433932304382324,for_000
0.5,random_matched_norm,2,-43.44947624206543,for_000
0.5,random_matched_norm,3,-43.4461236000061,for_000
0.5,random_matched_norm,4,-43.44426679611206,for_000
0.5,random_matched_norm,5,-43.44971323013306,for_000
0.5,random_matched_norm,6,-43.43719482421875,for_000
0.5,random_matched_norm,7,-43.43952512741089,for_000
0.5,random_matched_norm,8,-43.45332860946655,for_000
0.5,random_matched_norm,9,-43.44155502319336,for_000
1.0,probe_direction,-1,-43.450965881347656,for_000
1.0,random_matched_norm,0,-43.453073024749756,for_000
1.0,random_matched_norm,1,-43.42641878128052,for_000
1.0,random_matched_norm,2,-43.45752239227295,for_000
1.0,random_matched_norm,3,-43.450838565826416,for_000
1.0,random_matched_norm,4,-43.44710397720337,for_000
1.0,random_matched_norm,5,-43.45799493789673,for_000
1.0,random_matched_norm,6,-43.4329400062561,for_000
1.0,random_matched_norm,7,-43.4375638961792,for_000
1.0,random_matched_norm,8,-43.46524715423584,for_000
1.0,random_matched_norm,9,-43.44172954559326,for_000
2.0,probe_direction,-1,-43.459333419799805,for_000
2.0,random_matched_norm,0,-43.46396732330322,for_000
2.0,random_matched_norm,1,-43.410423278808594,for_000
2.0,random_matched_norm,2,-43.472959995269775,for_000
2.0,random_matched_norm,3,-43.45941162109375,for_000
2.0,random_matched_norm,4,-43.45191192626953,for_000
2.0,random_matched_norm,5,-43.47369194030762,for_000
2.0,random_matched_norm,6,-43.42368984222412,for_000
2.0,random_matched_norm,7,-43.432820320129395,for_000
2.0,random_matched_norm,8,-43.48838758468628,for_000
2.0,random_matched_norm,9,-43.44148826599121,for_000
-2.0,probe_direction,-1,-41.72960042953491,for_000
-2.0,random_matched_norm,0,-41.752450942993164,for_000
-2.0,random_matched_norm,1,-41.82234811782837,for_000
-2.0,random_matched_norm,2,-41.76795434951782,for_000
-2.0,random_matched_norm,3,-41.75961875915527,for_000
-2.0,random_matched_norm,4,-41.708138942718506,for_000
-2.0,random_matched_norm,5,-41.74465990066528,for_000
-2.0,random_matched_norm,6,-41.812108516693115,for_000
-2.0,random_matched_norm,7,-41.7550163269043,for_000
-2.0,random_matched_norm,8,-41.7190842628479,for_000
-2.0,random_matched_norm,9,-41.73788499832153,for_000
-1.0,probe_direction,-1,-41.75090980529785,for_000
-1.0,random_matched_norm,0,-41.762235164642334,for_000
-1.0,random_matched_norm,1,-41.797483921051025,for_000
-1.0,random_matched_norm,2,-41.77016258239746,for_000
-1.0,random_matched_norm,3,-41.76581907272339,for_000
-1.0,random_matched_norm,4,-41.74027061462402,for_000
-1.0,random_matched_norm,5,-41.75839567184448,for_000
